fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2022-06,San Juan,Ingresos Brutos,Impuesto provincial,25981945764,3.8,Carga de usuario
2022-06,San Juan,Inmobiliario,Impuesto provincial,1159408203,2.5,Carga de usuario
2022-06,San Juan,Automotor,Impuesto provincial,3758520317,13.5,Carga de usuario
2022-06,San Juan,Sellos,Impuesto provincial,2226006639,-10.6,Carga de usuario
2022-06,San Juan,DJ,Otros recursos provinciales,3567795.08,,Carga de usuario
2022-06,San Juan,Otros impuestos,Otros recursos provinciales,4484914621,,Carga de usuario
2022-06,San Juan,Total,Total recursos provinciales,37614363339,2.5,Carga de usuario
2022-07,San Juan,Ingresos Brutos,Impuesto provincial,28621461792,11.8,Carga de usuario
2022-07,San Juan,Inmobiliario,Impuesto provincial,1297546577,3.9,Carga de usuario
2022-07,San Juan,Automotor,Impuesto provincial,4055550526,11.3,Carga de usuario
2022-07,San Juan,Sellos,Impuesto provincial,2578070155,0.6,Carga de usuario
2022-07,San Juan,DJ,Otros recursos provinciales,4343447.12,,Carga de usuario
2022-07,San Juan,Otros impuestos,Otros recursos provinciales,4789937806,,Carga de usuario
2022-07,San Juan,Total,Total recursos provinciales,41346910303,8.6,Carga de usuario
2022-08,San Juan,Ingresos Brutos,Impuesto provincial,27052676138,6.6,Carga de usuario
2022-08,San Juan,Inmobiliario,Impuesto provincial,1368379170,-1.3,Carga de usuario
2022-08,San Juan,Automotor,Impuesto provincial,4330527200,6.9,Carga de usuario
2022-08,San Juan,Sellos,Impuesto provincial,2595786371,0.5,Carga de usuario
2022-08,San Juan,DJ,Otros recursos provinciales,3541877.17,,Carga de usuario
2022-08,San Juan,Otros impuestos,Otros recursos provinciales,4826725588,,Carga de usuario
2022-08,San Juan,Total,Total recursos provinciales,40177636344,4.5,Carga de usuario
2022-09,San Juan,Ingresos Brutos,Impuesto provincial,26100795658,-3.3,Carga de usuario
2022-09,San Juan,Inmobiliario,Impuesto provincial,879541856.10,-22.7,Carga de usuario
2022-09,San Juan,Automotor,Impuesto provincial,3434075311,7.4,Carga de usuario
2022-09,San Juan,Sellos,Impuesto provincial,2883505879,10.1,Carga de usuario
2022-09,San Juan,DJ,Otros recursos provinciales,3442019.17,,Carga de usuario
